epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4562.37,0.54773,0.32805,0.00508,0.95029,0.91166,0.94564,0.84201,0.48249,0.30791,0.00617,0.000566027,0.000566027,0.000566027
63,4631.29,0.53822,0.32585,0.00475,0.92668,0.93074,0.94226,0.82415,0.48232,0.331,0.00614,0.00055188,0.00055188,0.00055188
64,4701.31,0.57771,0.341,0.00508,0.93846,0.91018,0.94021,0.82515,0.49177,0.35399,0.00603,0.000537733,0.000537733,0.000537733
65,4774.77,0.53631,0.33593,0.00494,0.89966,0.92292,0.94454,0.8338,0.51055,0.35162,0.00661,0.000523586,0.000523586,0.000523586
66,4844.75,0.55292,0.31116,0.005,0.89467,0.92125,0.94544,0.8323,0.54025,0.36683,0.00717,0.000509438,0.000509438,0.000509438
67,4914.48,0.55572,0.31765,0.0051,0.9356,0.91821,0.9585,0.83819,0.54362,0.31464,0.00726,0.000495291,0.000495291,0.000495291
68,4987.01,0.55681,0.3528,0.00514,0.95883,0.91543,0.95178,0.84212,0.50858,0.33186,0.00687,0.000481144,0.000481144,0.000481144
69,5060.63,0.53613,0.32109,0.00472,0.95492,0.89648,0.95753,0.84805,0.48108,0.30547,0.00636,0.000466997,0.000466997,0.000466997
70,5131.95,0.53927,0.32233,0.00482,0.95215,0.92289,0.9562,0.84013,0.49936,0.33944,0.00672,0.00045285,0.00045285,0.00045285
71,5203.11,0.5135,0.31152,0.00463,0.94453,0.91569,0.94994,0.83223,0.49313,0.32259,0.00651,0.000438703,0.000438703,0.000438703
72,5274.82,0.53849,0.31401,0.00517,0.93577,0.90826,0.94821,0.8359,0.51164,0.32773,0.00716,0.000424556,0.000424556,0.000424556
73,5346.05,0.53571,0.30146,0.00478,0.92523,0.92079,0.94944,0.83641,0.50164,0.30568,0.00672,0.000410409,0.000410409,0.000410409
74,5417.94,0.53863,0.29928,0.00484,0.93842,0.93005,0.95348,0.83833,0.47319,0.30812,0.00625,0.000396262,0.000396262,0.000396262
75,5489.02,0.51093,0.29414,0.00468,0.95628,0.88616,0.95382,0.84049,0.52809,0.31797,0.00712,0.000382115,0.000382115,0.000382115
76,5559.63,0.51304,0.29159,0.00474,0.91195,0.91465,0.95142,0.84616,0.51231,0.31629,0.00695,0.000367967,0.000367967,0.000367967
77,5628.12,0.51247,0.29429,0.00468,0.93128,0.89566,0.94873,0.84049,0.51156,0.32919,0.00722,0.00035382,0.00035382,0.00035382
78,5697.4,0.51246,0.28422,0.0044,0.93345,0.94189,0.95196,0.83723,0.53156,0.31411,0.00751,0.000339673,0.000339673,0.000339673
79,5768.21,0.50897,0.2839,0.00444,0.93389,0.93944,0.9538,0.83586,0.51808,0.3255,0.00714,0.000325526,0.000325526,0.000325526
80,5838.32,0.49197,0.27382,0.00449,0.94254,0.9431,0.95397,0.8447,0.50042,0.32629,0.00691,0.000311379,0.000311379,0.000311379
